Booth Number(s),Company Name,Link to Company,Description,Website link,Company Contact Information
8411,"Energetiq Technology, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=103505"")","Energetiq designs, develops, and manufactures ultra-bright broadband light sources for complex scientific and engineering applications, including semiconductor manufacturing and life sciences analytical instruments. Our light sources generate high brightness across the spectrum, from soft x-ray to infrared and beyond. Energetiq focuses on rapid development and on-time delivery of reliable, long-lasting products for volume production applications. Energetiq is a subsidiary of Hamamatsu Photonics.","=HYPERLINK(""http://www.energetiq.com"")","Energetiq Technology, Inc.  205 Lowell St Ste 1A  Wilmington, MA  United States  01887-2972"
8222,EPIGAP OSA Photonics GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102821"")","EPIGAP OSA Photonics GmbH produces and distributes LED chips, SMD & THT LEDs, photodiodes, as well as CoB modules in the wavelength range of 230 nm to 2300 nm for energy-efficient, smart, and future-proof products in the fields of industrial sensor technology, security technology, and medical technology.","=HYPERLINK(""http://www.epigap-osa.de"")",EPIGAP OSA Photonics GmbH  Köpenicker Str. 325  Berlin  Germany  12555
8538,"Etaluma, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102808"")","Etaluma is a privately-held bioimaging technology company founded in 2009 and headquartered in San Diego, CA offering next-generation imaging ecosystem with compact optical imaging technology offering multi-channel fluorescence, solid state design with small form factor for high resolution, high-photonic efficiency for maximum sensitivity, camera compatibility, and flexible motion control.","=HYPERLINK(""http://etaluma.com"")","Etaluma, Inc.  4360 Viewridge Ave Ste B  San Diego, CA  United States  92123-1679"
8324,EXALOS AG,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101547"")","Founded in 2003, EXALOS, an indie Semiconductor company (Nasdaq: INDI), is a Swiss-based technology driven company, which focuses on the design, development, manufacturing and sales of advanced light source solutions based on Superluminescent Light Emitting Diodes (Visible and Near-IR) and Visible Laser Diodes. EXALOS’s product portfolio includes driver electronics and balanced receivers which are complementary to our light source offerings. EXALOS has shipped more than 800,000 SLEDs to date.","=HYPERLINK(""http://www.exalos.com"")",EXALOS AG  Wagistrasse 21  Schlieren  Switzerland  8952
8530,Excelitas,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102187"")","Excelitas is the leading provider of advanced, life-enriching technologies that make a difference, serving global market leaders in the Life Sciences, Advanced Industrial, next-generation Semiconductor, Aerospace and Defense end-markets. Excelitas is an essential partner in the design, development, and manufacture of photonic technologies, offering leading-edge innovation in sensing, detection, imaging, optics, and specialty illumination for customers worldwide.","=HYPERLINK(""http://www.excelitas.com"")","Excelitas  2545 Railroad Street, Suite 300  Pittsburgh, PA  United States  15222"
8359,Exosens S.A.S.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102728"")","EXOSENS is a high-tech company, with more than 85 years of experience in the innovation, development, manufacture and sale of technologies in the field of particles and photo detection and imaging. Today, it offers its customers detectors and detection solutions: its travelling wave tubes, advanced cameras, neutron & gamma detectors, instrument detectors and light intensifier tubes allow EXOSENS to respond to complex issues in environments extremely demanding by offering tailor-made solutions.","=HYPERLINK(""http://www.exosens.com"")",Exosens S.A.S.  18 Avenue Pythagore  Merignac  France  33700
8462,Feinwerkoptik Zünd AG,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102218"")","Feinwerkoptik Zünd develops imaging and non- imaging photonic systems and produces miniaturized optical components and optoelectromechanical systems. Our optic design capabilities for stereoscopic viewing are highly sophisticated as well as our production know-how for miniaturized lenses with diameter bigger than 0.5mm. The products we create are mainly used in medical, biomedical and technical solutions.","=HYPERLINK(""http://www.feinwerkoptik-zuend.ch"")",Feinwerkoptik Zünd AG  Haldenstr 3  Werdenberg  Switzerland  9470
8226,Femtika UAB,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101615"")","FEMTIKA, founded in 2013, is a leading provider of advanced laser microfabrication solutions in multiphoton polymerization and selective laser etching. The cutting-edge technology allows precise and efficient processing in a wide range of industries, including microelectronics, medical devices, and aerospace engineering. Our state-of-the-art facility is equipped with the latest equipment and technology, allowing us to provide our clients with the highest level of service and support.","=HYPERLINK(""http://www.femtika.com"")",Femtika UAB  Keramikų g. 2  Vilnius  Lithuania  10233
8453,FEMTOprint SA,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101323"")","FEMTOprint is a Swiss high-tech, Contract Development and Manufacturing Organization specialized in high-precision, 3D printing in glass. With the proprietary laser-based FEMTOPRINT® microfabrication platform, we offer truly free-form surface/volume definition, welding, ablative, and surface treatment solutions in glass, thus, creating advanced, highly precise, and functionalized microdevices in micro-optical, microfluidic, microelectronic, and micromechanical applications.","=HYPERLINK(""http://www.femtoprint.ch"")",FEMTOprint SA  Via Campagna 16  Agno  Switzerland  6982
8418,Fibertech Optica Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101704"")","A leader in the design and manufacture of integrated specialty fiber optic solutions, FTO offers precision micro optical assemblies, bundles, v-groove arrays, Raman & reflectance probes, high power laser cables and vacuum feedthrough for use from Deep UV to MIR wavelengths. FTO also offers multi-wavelength fiber-coupled LED illumination and calibration light sources to generate arbitrary spectral output profiles. Our light sources can support up to 18 channels.","=HYPERLINK(""http://www.fibertech-optica.com"")","Fibertech Optica Inc.  330 Gage Ave Suite 1  Kitchener, ON  Canada  N2M 5C6"
8636,Flash Pathology B.V.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=103370"")",No Description Found,"=HYPERLINK(""http://flashpathology.com"")",Flash Pathology B.V.  De Boelelaan 1085  Amsterdam  Netherlands  1081 HV
8675,"Fujian Dayoptics, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=103292"")",No Description Found,"=HYPERLINK(""http://www.dayoptics.com"")","Fujian Dayoptics, Inc.  Bldg 6  No 66 Anxia Rd  Fuzhou, FJ  China  350109"
